WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, CNAV_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM124, EM712
2024/09/16, 00:00:07.135, 72.373, -2.215, 10.47, 314.460, 314.600, 9.930, 7.6, 7.6, 1002.1, 1001.8, 0.0, 0.0, 53.400, 49.430, 69, 49, 1.7, 3.4, 100.0, 100.0, 4.8, 3.8, 115.2, 92.8, 1004.2, 1003.9, -5.180, 372.110, -0.02, 34.6113, 6.6562, 618.400, 71.6, 1476.918, NAN, NAN, 2816.54, NAN
2024/09/16, 00:01:07.135, 72.375, -2.222, 10.35, 315.930, 314.300, 9.940, 7.6, 7.6, 1001.8, 1001.8, 0.0, 0.0, 53.400, 49.430, 82, 64, 1.5, 2.7, 100.0, 100.0, 5.2, 4.7, 117.5, 102.7, 1003.9, 1003.9, -5.200, 372.020, -0.01, 34.6116, 6.6494, 620.000, 71.7, 1476.892, NAN, NAN, 2817.82, NAN
2024/09/16, 00:02:07.135, 72.377, -2.228, 10.33, 314.720, 314.200, 9.920, 7.6, 7.6, 1002.0, 1001.8, 0.0, 0.0, 53.400, 49.430, 78, 57, 1.5, 3.0, 100.0, 100.0, 5.0, 4.3, 117.2, 98.2, 1004.1, 1003.9, -5.240, 371.940, -0.02, 34.6118, 6.6423, 619.000, 71.5, 1476.865, NAN, NAN, 2835.42, NAN
2024/09/16, 00:03:07.135, 72.379, -2.235, 10.45, 315.140, 314.500, 9.770, 7.6, 7.6, 1001.8, 1001.9, 0.0, 0.0, 53.400, 49.430, 85, 61, 1.7, 2.9, 100.0, 100.0, 5.2, 4.4, 115.4, 99.5, 1003.9, 1004.0, -5.190, 371.850, -0.02, 34.6114, 6.6389, 620.900, 71.6, 1476.851, NAN, NAN, 2875.62, NAN
2024/09/16, 00:04:07.135, 72.380, -2.241, 9.65, 314.430, 313.600, 9.070, 7.6, 7.6, 1002.0, 1001.9, 0.0, 0.0, 53.400, 49.430, 87, 66, 1.7, 2.7, 100.0, 100.0, 4.9, 4.4, 113.3, 99.0, 1004.1, 1004.0, -5.190, 371.750, -0.02, 34.6116, 6.6379, 621.100, 71.4, 1476.847, NAN, NAN, 2854.95, NAN
2024/09/16, 00:05:07.135, 72.382, -2.246, 7.09, 316.150, 313.600, 7.000, 7.6, 7.6, 1002.1, 1001.9, 0.0, 0.0, 53.400, 49.430, 132, 83, 1.5, 1.5, 100.0, 100.0, 4.8, 3.8, 120.7, 110.4, 1004.2, 1004.0, -5.150, 371.180, -0.03, 34.6129, 6.6389, 618.400, 71.0, 1476.853, NAN, NAN, 2848.90, NAN
2024/09/16, 00:06:07.135, 72.383, -2.248, 4.89, 13.650, 331.900, 4.590, 7.6, 7.6, 1001.6, 1002.0, 0.0, 0.0, 53.400, 49.430, 117, 109, 3.7, 3.5, 100.0, 100.0, 6.0, 5.7, 138.9, 134.4, 1003.7, 1004.1, -5.220, 371.170, -0.02, 34.6136, 6.6395, 617.600, 70.6, 1476.856, NAN, NAN, 5.24, NAN
2024/09/16, 00:07:07.135, 72.383, -2.248, -0.21, 90.300, 46.700, 1.240, 7.5, 7.5, 1002.1, 1001.8, 0.0, 0.0, 53.400, 49.430, 58, 49, 6.0, 7.6, 100.0, 100.0, 6.2, 7.7, 154.1, 144.1, 1004.2, 1003.9, -5.220, 371.560, -0.03, 34.6113, 6.6395, 617.700, 70.4, 1476.853, NAN, NAN, 2857.59, NAN
2024/09/16, 00:08:07.135, 72.383, -2.247, 0.94, 137.090, 121.000, 1.180, 7.5, 7.5, 1001.7, 1001.8, 0.0, 0.0, 53.400, 49.430, 354, 345, 5.3, 5.2, 100.0, 100.0, 4.7, 4.6, 132.4, 122.2, 1003.8, 1003.9, -5.210, 371.990, -0.01, 34.6079, 6.6391, 616.300, 70.6, 1476.847, NAN, NAN, 2874.60, NAN
2024/09/16, 00:09:07.135, 72.383, -2.246, 0.23, 122.680, 119.900, 0.590, 7.5, 7.5, 1002.1, 1001.9, 0.0, 0.0, 53.400, 49.430, 354, 349, 5.1, 5.2, 100.0, 100.0, 4.8, 4.9, 116.5, 111.2, 1004.2, 1004.0, -5.180, 372.640, -0.02, 34.6083, 6.6390, 619.300, 70.4, 1476.847, NAN, NAN, 2870.75, NAN
