WHOI SSSG dsLogCsv
DEPTH_AR, DATE_GMT, TIME_GMT, Deg_LAT, Deg_LON, EM124, EM712
DEPTH_AR, 2024/09/16, 00:00:08.671, 7222.380605, 212.933230, NAN, NAN
DEPTH_AR, 2024/09/16, 00:00:18.671, 7222.400318, 212.998879, 2817.60, NAN
DEPTH_AR, 2024/09/16, 00:00:28.671, 7222.419611, 213.064802, 2813.54, NAN
DEPTH_AR, 2024/09/16, 00:00:38.671, 7222.438390, 213.128828, NAN, NAN
DEPTH_AR, 2024/09/16, 00:00:48.671, 7222.457911, 213.192256, 2820.07, NAN
DEPTH_AR, 2024/09/16, 00:00:58.671, 7222.477294, 213.258445, 2817.82, NAN
DEPTH_AR, 2024/09/16, 00:01:08.671, 7222.496650, 213.323389, NAN, NAN
DEPTH_AR, 2024/09/16, 00:01:18.671, 7222.515476, 213.385888, 2824.72, NAN
DEPTH_AR, 2024/09/16, 00:01:28.671, 7222.534314, 213.448928, 2833.92, NAN
DEPTH_AR, 2024/09/16, 00:01:38.671, 7222.554939, 213.515943, 2833.92, NAN
DEPTH_AR, 2024/09/16, 00:01:48.671, 7222.574152, 213.581706, 2821.15, NAN
DEPTH_AR, 2024/09/16, 00:01:58.671, 7222.591652, 213.644564, 2835.42, NAN
DEPTH_AR, 2024/09/16, 00:02:08.672, 7222.610752, 213.710256, 2835.42, NAN
DEPTH_AR, 2024/09/16, 00:02:18.672, 7222.630578, 213.776493, 2837.88, NAN
DEPTH_AR, 2024/09/16, 00:02:28.672, 7222.648640, 213.839761, 2849.89, NAN
DEPTH_AR, 2024/09/16, 00:02:38.672, 7222.667513, 213.902526, 2849.89, NAN
DEPTH_AR, 2024/09/16, 00:02:48.672, 7222.687791, 213.968404, 2852.35, NAN
DEPTH_AR, 2024/09/16, 00:02:58.672, 7222.707327, 214.035221, 2875.62, NAN
DEPTH_AR, 2024/09/16, 00:03:08.672, 7222.725539, 214.096842, 2875.62, NAN
DEPTH_AR, 2024/09/16, 00:03:18.672, 7222.744085, 214.158675, 2865.23, NAN
DEPTH_AR, 2024/09/16, 00:03:28.672, 7222.763137, 214.225332, 2866.72, NAN
DEPTH_AR, 2024/09/16, 00:03:38.672, 7222.780729, 214.288092, 2866.72, NAN
DEPTH_AR, 2024/09/16, 00:03:48.672, 7222.798800, 214.348475, 2864.00, NAN
DEPTH_AR, 2024/09/16, 00:03:58.672, 7222.816393, 214.409419, 2854.95, NAN
DEPTH_AR, 2024/09/16, 00:04:08.672, 7222.832352, 214.465590, 2854.95, NAN
DEPTH_AR, 2024/09/16, 00:04:18.672, 7222.847316, 214.516934, 2849.85, NAN
DEPTH_AR, 2024/09/16, 00:04:28.672, 7222.861896, 214.565819, 2847.35, NAN
DEPTH_AR, 2024/09/16, 00:04:38.672, 7222.876249, 214.613646, 2847.35, NAN
DEPTH_AR, 2024/09/16, 00:04:48.673, 7222.889899, 214.661319, 2851.78, NAN
DEPTH_AR, 2024/09/16, 00:04:58.673, 7222.902512, 214.706082, 2848.90, NAN
DEPTH_AR, 2024/09/16, 00:05:08.673, 7222.914934, 214.748135, NAN, NAN
DEPTH_AR, 2024/09/16, 00:05:18.673, 7222.927488, 214.789573, 2856.14, NAN
DEPTH_AR, 2024/09/16, 00:05:28.673, 7222.939472, 214.830435, 2857.95, NAN
