WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, CNAV_LAT, CNAV_LON, CNAV_COG, CNAV_SOG, DPS112_LAT, DPS112_LON, DPS_COG, SPD, GYRO_HDT, SEAPATH_LAT, SEAPATH_LON, SEAPATH_COG, SEAPATH_SOG, POSMV_LAT, POSMV_LON, CNAV_DECMIN, CNAV_DECMIN
2024/09/16, 00:00:08.673, 72.373, -2.215, 314.500, 9.890, 72.373, -2.215, 312.190000, 10.48, 314.850, 7222.380605, 212.933230, 312.68, 10.00, 7222.378330, 212.925980, 7222.372382, 212.927414
2024/09/16, 00:00:18.673, 72.373, -2.217, 314.900, 9.970, 72.373, -2.216, 314.780000, 10.50, 314.220, 7222.400318, 212.998879, 313.59, 9.60, 7222.398080, 212.991870, 7222.392256, 212.992311
2024/09/16, 00:00:28.673, 72.374, -2.218, 314.800, 9.980, 72.374, -2.217, 314.280000, 10.53, 313.480, 7222.419611, 213.064802, 316.56, 10.60, 7222.417190, 213.057270, 7222.411549, 213.057462
2024/09/16, 00:00:38.674, 72.374, -2.219, 314.600, 9.940, 72.374, -2.218, 315.230000, 10.50, 314.620, 7222.438390, 213.128828, 316.08, 10.80, 7222.436060, 213.121230, 7222.430589, 213.122269
2024/09/16, 00:00:48.674, 72.374, -2.220, 314.700, 9.980, 72.374, -2.219, 315.560000, 10.47, 315.870, 7222.457911, 213.192256, 309.95, 9.70, 7222.455890, 213.185120, 7222.450161, 213.187602
2024/09/16, 00:00:58.674, 72.374, -2.221, 314.200, 9.950, 72.375, -2.221, 317.670000, 10.47, 315.050, 7222.477294, 213.258445, 313.16, 9.10, 7222.475310, 213.251980, 7222.468948, 213.253244
2024/09/16, 00:01:08.674, 72.375, -2.222, 314.500, 9.960, 72.375, -2.222, 316.710000, 10.34, 315.350, 7222.496650, 213.323389, 315.88, 10.10, 7222.494360, 213.316570, 7222.488383, 213.317484
2024/09/16, 00:01:18.674, 72.375, -2.223, 314.700, 9.900, 72.375, -2.223, 314.890000, 10.31, 315.770, 7222.515476, 213.385888, 312.33, 11.10, 7222.513110, 213.378170, 7222.507490, 213.380578
2024/09/16, 00:01:28.674, 72.375, -2.224, 314.500, 9.880, 72.376, -2.224, 314.850000, 10.38, 316.120, 7222.534314, 213.448928, 311.50, 9.00, 7222.532360, 213.442550, 7222.526598, 213.445162
2024/09/16, 00:01:38.674, 72.376, -2.225, 314.600, 10.010, 72.376, -2.225, 317.810000, 10.38, 315.930, 7222.554939, 213.515943, 309.22, 8.20, 7222.552960, 213.509620, 7222.546585, 213.511085
2024/09/16, 00:01:48.674, 72.376, -2.226, 314.200, 9.950, 72.376, -2.226, 311.570000, 10.39, 313.310, 7222.574152, 213.581706, 311.84, 10.40, 7222.571710, 213.573850, 7222.565308, 213.575269
2024/09/16, 00:01:58.674, 72.376, -2.227, 314.100, 9.810, 72.376, -2.227, 316.170000, 10.32, 313.340, 7222.591652, 213.644564, 316.36, 10.80, 7222.589130, 213.637210, 7222.583805, 213.638462
2024/09/16, 00:02:08.674, 72.377, -2.228, 314.100, 9.860, 72.377, -2.228, 311.160000, 10.35, 314.680, 7222.610752, 213.710256, 313.25, 9.00, 7222.608670, 213.703500, 7222.602975, 213.704184
2024/09/16, 00:02:18.674, 72.377, -2.229, 314.000, 9.920, 72.377, -2.229, 314.140000, 10.48, 314.310, 7222.630578, 213.776493, 314.91, 10.30, 7222.628170, 213.769010, 7222.622048, 213.769950
2024/09/16, 00:02:28.674, 72.377, -2.231, 314.000, 9.810, 72.377, -2.230, 317.250000, 10.57, 314.370, 7222.648640, 213.839761, 316.86, 11.30, 7222.646160, 213.831820, 7222.640511, 213.833530
2024/09/16, 00:02:38.674, 72.378, -2.232, 314.200, 9.850, 72.378, -2.231, 313.130000, 10.61, 316.580, 7222.667513, 213.902526, 312.35, 9.50, 7222.665520, 213.895660, 7222.659914, 213.898334
2024/09/16, 00:02:48.674, 72.378, -2.233, 314.400, 9.910, 72.378, -2.232, 316.170000, 10.43, 315.400, 7222.687791, 213.968404, 314.79, 8.60, 7222.685800, 213.962020, 7222.679476, 213.963336
2024/09/16, 00:02:58.674, 72.378, -2.234, 314.600, 9.950, 72.378, -2.233, 315.990000, 10.39, 313.350, 7222.707327, 214.035221, 313.91, 10.00, 7222.705050, 214.027600, 7222.698883, 214.027700
