WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, PASHR_HEADING, GYRO1, GYRO2, G1_G2, POSMV_G1, POSMV_G2
2024/09/16, 00:00:08.778, 314.340, 314.810, 315.230, -0.4200, -0.4700, -0.8900
2024/09/16, 00:00:18.778, 314.040, 314.210, 314.620, -0.4100, -0.1700, -0.5800
2024/09/16, 00:00:28.778, 313.660, 313.470, 313.670, -0.2000, 0.1900, -0.0100
2024/09/16, 00:00:38.778, 314.810, 314.600, 314.740, -0.1400, 0.2100, 0.0700
2024/09/16, 00:00:48.778, 315.410, 315.810, 316.070, -0.2600, -0.4000, -0.6600
2024/09/16, 00:00:58.778, 314.900, 315.150, 315.270, -0.1200, -0.2500, -0.3700
2024/09/16, 00:01:08.778, 315.360, 315.310, 315.460, -0.1500, 0.0500, -0.1000
2024/09/16, 00:01:18.779, 315.390, 315.560, 315.910, -0.3500, -0.1700, -0.5200
2024/09/16, 00:01:28.779, 315.710, 316.020, 316.360, -0.3400, -0.3100, -0.6500
2024/09/16, 00:01:38.779, 315.860, 315.990, 316.030, -0.0400, -0.1300, -0.1700
2024/09/16, 00:01:48.779, 313.340, 313.310, 313.420, -0.1100, 0.0300, -0.0800
2024/09/16, 00:01:58.779, 312.880, 313.360, 313.580, -0.2200, -0.4800, -0.7000
2024/09/16, 00:02:08.779, 314.570, 314.620, 314.760, -0.1400, -0.0500, -0.1900
2024/09/16, 00:02:18.779, 314.340, 314.340, 314.370, -0.0300, 0.0000, -0.0300
2024/09/16, 00:02:28.779, 314.170, 314.280, 314.290, -0.0100, -0.1100, -0.1200
2024/09/16, 00:02:38.779, 315.780, 316.590, 316.800, -0.2100, -0.8100, -1.0200
2024/09/16, 00:02:48.779, 315.150, 315.490, 315.640, -0.1500, -0.3400, -0.4900
2024/09/16, 00:02:58.779, 313.290, 313.260, 313.350, -0.0900, 0.0300, -0.0600
2024/09/16, 00:03:08.779, 314.150, 314.350, 314.450, -0.1000, -0.2000, -0.3000
2024/09/16, 00:03:18.779, 315.320, 316.010, 316.170, -0.1600, -0.6900, -0.8500
2024/09/16, 00:03:28.779, 313.940, 313.820, 313.920, -0.1000, 0.1200, 0.0200
2024/09/16, 00:03:38.779, 313.980, 313.870, 313.880, -0.0100, 0.1100, 0.1000
2024/09/16, 00:03:48.779, 315.560, 315.670, 315.560, 0.1100, -0.1100, 0.0000
2024/09/16, 00:03:58.779, 313.990, 313.900, 313.880, 0.0200, 0.0900, 0.1100
2024/09/16, 00:04:08.780, 314.160, 314.090, 314.080, 0.0100, 0.0700, 0.0800
2024/09/16, 00:04:18.780, 315.730, 315.950, 316.200, -0.2500, -0.2200, -0.4700
2024/09/16, 00:04:28.780, 314.980, 315.070, 315.020, 0.0500, -0.0900, -0.0400
2024/09/16, 00:04:38.780, 315.010, 315.300, 315.460, -0.1600, -0.2900, -0.4500
2024/09/16, 00:04:48.780, 315.160, 315.120, 315.070, 0.0500, 0.0400, 0.0900
2024/09/16, 00:04:58.780, 315.170, 314.970, 314.960, 0.0100, 0.2000, 0.2100
2024/09/16, 00:05:08.780, 315.510, 315.510, 315.480, 0.0300, 0.0000, 0.0300
2024/09/16, 00:05:18.780, 315.460, 315.700, 315.790, -0.0900, -0.2400, -0.3300
2024/09/16, 00:05:28.780, 315.570, 315.630, 315.580, 0.0500, -0.0600, -0.0100
2024/09/16, 00:05:38.780, 326.030, 326.360, 326.450, -0.0900, -0.3300, -0.4200
2024/09/16, 00:05:48.780, 341.260, 341.340, 341.350, -0.0100, -0.0800, -0.0900
2024/09/16, 00:05:58.780, 358.920, 358.920, 358.800, 0.1200, 0.0000, 0.1200
2024/09/16, 00:06:08.780, 16.220, 16.510, 16.630, -0.1200, -0.2900, -0.4100
2024/09/16, 00:06:18.780, 32.080, 32.840, 32.850, -0.0100, -0.7600, -0.7700
2024/09/16, 00:06:28.780, 45.900, 46.390, 46.490, -0.1000, -0.4900, -0.5900
2024/09/16, 00:06:38.780, 56.310, 56.920, 57.200, -0.2800, -0.6100, -0.8900
2024/09/16, 00:06:48.780, 68.170, 68.340, 68.470, -0.1300, -0.1700, -0.3000
2024/09/16, 00:06:58.781, 79.540, 79.900, 80.180, -0.2800, -0.3600, -0.6400
2024/09/16, 00:07:08.781, 91.350, 91.910, 92.160, -0.2500, -0.5600, -0.8100
2024/09/16, 00:07:18.781, 103.750, 103.550, 103.570, -0.0200, 0.2000, 0.1800
2024/09/16, 00:07:28.781, 114.830, 115.190, 115.350, -0.1600, -0.3600, -0.5200
2024/09/16, 00:07:38.781, 127.210, 127.140, 127.220, -0.0800, 0.0700, -0.0100
2024/09/16, 00:07:48.781, 132.770, 133.400, 133.680, -0.2800, -0.6300, -0.9100
2024/09/16, 00:07:58.781, 136.000, 136.340, 136.480, -0.1400, -0.3400, -0.4800
2024/09/16, 00:08:08.781, 136.800, 137.230, 137.430, -0.2000, -0.4300, -0.6300
2024/09/16, 00:08:18.781, 135.590, 136.260, 136.570, -0.3100, -0.6700, -0.9800
2024/09/16, 00:08:28.781, 132.290, 132.960, 133.270, -0.3100, -0.6700, -0.9800
2024/09/16, 00:08:38.781, 128.670, 128.830, 128.940, -0.1100, -0.1600, -0.2700
2024/09/16, 00:08:48.781, 125.290, 125.990, 126.180, -0.1900, -0.7000, -0.8900
2024/09/16, 00:08:58.781, 122.980, 123.360, 123.560, -0.2000, -0.3800, -0.5800
2024/09/16, 00:09:08.781, 122.050, 122.890, 123.070, -0.1800, -0.8400, -1.0200
2024/09/16, 00:09:18.781, 122.060, 122.830, 122.920, -0.0900, -0.7700, -0.8600
2024/09/16, 00:09:28.781, 122.350, 122.870, 122.960, -0.0900, -0.5200, -0.6100
2024/09/16, 00:09:38.781, 124.610, 124.870, 124.820, 0.0500, -0.2600, -0.2100
2024/09/16, 00:09:48.782, 126.060, 126.650, 126.690, -0.0400, -0.5900, -0.6300
2024/09/16, 00:09:58.782, 127.140, 127.220, 127.270, -0.0500, -0.0800, -0.1300
2024/09/16, 00:10:08.782, 127.360, 127.950, 128.220, -0.2700, -0.5900, -0.8600
2024/09/16, 00:10:18.782, 126.700, 127.540, 127.680, -0.1400, -0.8400, -0.9800
2024/09/16, 00:10:28.782, 124.320, 125.190, 125.410, -0.2200, -0.8700, -1.0900
2024/09/16, 00:10:38.782, 120.460, 120.900, 121.030, -0.1300, -0.4400, -0.5700
2024/09/16, 00:10:48.782, 119.060, 119.000, 119.030, -0.0300, 0.0600, 0.0300
