WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, CNAV_LAT, CNAV_LON, SPD, PASHR_HEADING, GYRO_HDT, PMV_HD_DIFF, PASHR_ROLL, PASHR_PITCH, PASHR_HEAVE, PASHR_ROLL_ACCURACY, PASHR_PITCH_ACCURACY, PASHR_HEADING_ACCURACY, PASHR_IMU_FLAG, SEAPATH_ROLL, SEAPATH_PITCH, SEAPATH_HEAVE, SEAPATH_GGA_FLAG, SEAPATH_HORIZ_QUAL, SEAPATH_HGT_QUAL, SEAPATH_HEAD_QUAL, SEAPATH_RP_QUAL, SEAPATH_HEADING
2024/09/16, 00:00:08.752, 72.373, -2.215, 10.48, 314.340, 314.840, -0.5000, -1.340, 0.740, 0.440, 0.021, 0.021, 0.012, 2, -1.27, 0.78, -0.46, 2.00, 0.00, 0.00, 0.00, 0.00, 314.43
2024/09/16, 00:00:18.752, 72.373, -2.217, 10.50, 314.040, 314.210, -0.1700, -0.230, 0.900, 0.130, 0.021, 0.021, 0.012, 2, -0.13, 0.95, -0.19, 2.00, 0.00, 0.00, 0.00, 0.00, 314.14
2024/09/16, 00:00:28.752, 72.374, -2.218, 10.53, 313.660, 313.470, 0.1900, 0.590, 1.420, 0.500, 0.021, 0.021, 0.012, 2, 0.72, 1.42, -0.54, 2.00, 0.00, 0.00, 0.00, 0.00, 313.77
2024/09/16, 00:00:38.752, 72.374, -2.219, 10.50, 314.810, 314.610, 0.2000, 1.880, -0.010, 0.570, 0.021, 0.021, 0.012, 2, 1.94, -0.01, -0.40, 2.00, 0.00, 0.00, 0.00, 0.00, 314.92
2024/09/16, 00:00:48.752, 72.374, -2.220, 10.47, 315.410, 315.840, -0.4300, -0.070, -1.160, -0.650, 0.021, 0.021, 0.012, 2, -0.03, -1.16, 0.99, 2.00, 0.00, 0.00, 0.00, 0.00, 315.51
2024/09/16, 00:00:58.753, 72.374, -2.221, 10.47, 314.900, 315.090, -0.1900, -0.780, 0.810, -0.190, 0.021, 0.021, 0.012, 2, -0.80, 0.89, 0.44, 2.00, 0.00, 0.00, 0.00, 0.00, 314.98
2024/09/16, 00:01:08.753, 72.375, -2.222, 10.34, 315.360, 315.330, 0.0300, -0.010, 0.780, 0.500, 0.021, 0.021, 0.012, 2, 0.05, 0.82, -0.30, 2.00, 0.00, 0.00, 0.00, 0.00, 315.47
2024/09/16, 00:01:18.753, 72.375, -2.223, 10.31, 315.390, 315.670, -0.2800, 0.340, -0.900, 0.290, 0.021, 0.021, 0.012, 2, 0.36, -0.92, -0.04, 2.00, 0.00, 0.00, 0.00, 0.00, 315.52
2024/09/16, 00:01:28.753, 72.375, -2.224, 10.38, 315.710, 316.070, -0.3600, 0.190, -2.470, -0.840, 0.021, 0.021, 0.012, 2, 0.15, -2.43, 1.24, 2.00, 0.00, 0.00, 0.00, 0.00, 315.82
2024/09/16, 00:01:38.753, 72.376, -2.225, 10.38, 315.860, 315.960, -0.1000, -0.810, 1.340, -0.590, 0.021, 0.021, 0.012, 2, -0.86, 1.41, 0.87, 2.00, 0.00, 0.00, 0.00, 0.00, 315.93
