WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, CNAV_LAT, CNAV_LON, SPD, GYRO_HDT, SBE48T, SBE45T, VAL_TMP, SBE45C, FLR, FLOW, SONIC_FLOW, SBE45S, SBE45_SSV, VAL_SSV, SBE48_SBE45_DIFF, SBE48_VAL_DIFF, SBE45_VAL_DIFF
2024/09/16, 00:00:11.727, 72.373, -2.216, 10.48, 314.890, 6.6554, 7.2867, 6.463, 3.51945, 619.000, 71.7, 3.82, 34.6116, 1479.277, 1476.745, -0.6313, 0.1924, 0.8237
2024/09/16, 00:00:31.727, 72.374, -2.218, 10.52, 314.440, 6.6537, 7.2830, 6.460, 3.51914, 617.700, 71.7, 3.81, 34.6119, 1479.263, 1476.712, -0.6293, 0.1937, 0.8230
2024/09/16, 00:00:51.727, 72.374, -2.220, 10.48, 314.580, 6.6516, 7.2822, 6.458, 3.51895, 620.300, 71.7, 3.82, 34.6107, 1479.259, 1476.713, -0.6306, 0.1936, 0.8242
2024/09/16, 00:01:11.727, 72.375, -2.222, 10.33, 314.980, 6.6494, 7.2794, 6.455, 3.51883, 618.000, 71.7, 3.80, 34.6121, 1479.250, 1476.708, -0.6300, 0.1944, 0.8244
2024/09/16, 00:01:31.727, 72.376, -2.224, 10.41, 314.520, 6.6461, 7.2783, 6.455, 3.51868, 619.300, 71.7, 3.82, 34.6115, 1479.245, 1476.707, -0.6322, 0.1911, 0.8233
2024/09/16, 00:01:51.728, 72.376, -2.227, 10.38, 314.160, 6.6441, 7.2762, 6.454, 3.51845, 618.700, 71.6, 3.82, 34.6111, 1479.236, 1476.699, -0.6321, 0.1901, 0.8222
2024/09/16, 00:02:11.728, 72.377, -2.229, 10.41, 315.280, 6.6423, 7.2734, 6.454, 3.51823, 620.000, 71.5, 3.79, 34.6116, 1479.226, 1476.707, -0.6311, 0.1883, 0.8194
2024/09/16, 00:02:31.728, 72.377, -2.231, 10.58, 314.310, 6.6407, 7.2700, 6.454, 3.51790, 619.300, 71.5, 3.79, 34.6113, 1479.213, 1476.707, -0.6293, 0.1867, 0.8160
2024/09/16, 00:02:51.728, 72.378, -2.233, 10.41, 315.660, 6.6392, 7.2709, 6.455, 3.51797, 619.600, 71.5, 3.79, 34.6113, 1479.216, 1476.706, -0.6317, 0.1842, 0.8159
2024/09/16, 00:03:11.728, 72.379, -2.235, 10.43, 313.910, 6.6385, 7.2709, 6.455, 3.51799, 620.300, 71.5, 3.81, 34.6115, 1479.216, 1476.712, -0.6324, 0.1835, 0.8159
2024/09/16, 00:03:31.728, 72.379, -2.237, 10.20, 314.390, 6.6382, 7.2690, 6.456, 3.51788, 620.900, 71.5, 3.82, 34.6121, 1479.210, 1476.712, -0.6308, 0.1822, 0.8130
2024/09/16, 00:03:51.728, 72.380, -2.239, 10.10, 315.820, 6.6379, 7.2714, 6.455, 3.51805, 619.000, 71.5, 3.81, 34.6116, 1479.218, 1476.709, -0.6335, 0.1829, 0.8164
2024/09/16, 00:04:11.728, 72.380, -2.241, 9.37, 315.270, 6.6379, 7.2713, 6.454, 3.51807, 620.000, 71.4, 3.80, 34.6119, 1479.218, 1476.712, -0.6334, 0.1839, 0.8173
2024/09/16, 00:04:31.728, 72.381, -2.243, 8.57, 314.190, 6.6379, 7.2730, 6.461, 3.51825, 620.900, 71.3, 3.79, 34.6122, 1479.225, 1476.752, -0.6351, 0.1769, 0.8120
2024/09/16, 00:04:51.728, 72.381, -2.244, 7.33, 314.880, 6.6387, 7.2721, 6.456, 3.51820, 620.300, 71.1, 3.77, 34.6125, 1479.222, 1476.722, -0.6334, 0.1827, 0.8161
2024/09/16, 00:05:11.728, 72.382, -2.246, 7.03, 315.470, 6.6390, 7.2702, 6.456, 3.51807, 620.000, 71.0, 3.79, 34.6129, 1479.216, 1476.710, -0.6312, 0.1830, 0.8142
2024/09/16, 00:05:31.728, 72.382, -2.247, 6.71, 319.490, 6.6391, 7.2725, 6.457, 3.51834, 618.400, 70.9, 3.77, 34.6137, 1479.225, 1476.725, -0.6334, 0.1821, 0.8155
2024/09/16, 00:05:51.728, 72.383, -2.248, 6.52, 346.820, 6.6393, 7.2777, 6.458, 3.51875, 618.000, 70.8, 3.77, 34.6129, 1479.244, 1476.736, -0.6384, 0.1813, 0.8197
2024/09/16, 00:06:11.728, 72.383, -2.248, 4.85, 21.730, 6.6400, 7.2770, 6.463, 3.51875, 616.900, 70.6, 3.74, 34.6135, 1479.243, 1476.752, -0.6370, 0.1770, 0.8140
2024/09/16, 00:06:31.728, 72.383, -2.248, 3.37, 48.430, 6.6404, 7.2727, 6.456, 3.51818, 618.400, 70.3, 3.74, 34.6117, 1479.224, 1476.725, -0.6323, 0.1844, 0.8167
2024/09/16, 00:06:51.728, 72.383, -2.248, 1.31, 71.170, 6.6398, 7.2729, 6.454, 3.51820, 617.600, 70.2, 3.74, 34.6116, 1479.224, 1476.705, -0.6331, 0.1858, 0.8189
2024/09/16, 00:07:11.728, 72.383, -2.248, -0.21, 95.190, 6.6395, 7.2779, 6.450, 3.51865, 618.400, 70.4, 3.77, 34.6116, 1479.244, 1476.688, -0.6384, 0.1895, 0.8279
2024/09/16, 00:07:31.729, 72.383, -2.247, 0.58, 118.960, 6.6393, 7.2827, 6.449, 3.51905, 618.000, 70.6, 3.78, 34.6112, 1479.261, 1476.682, -0.6434, 0.1903, 0.8337
2024/09/16, 00:07:51.729, 72.383, -2.247, 1.01, 133.750, 6.6391, 7.2749, 6.449, 3.51807, 617.600, 70.6, 3.78, 34.6082, 1479.228, 1476.688, -0.6358, 0.1901, 0.8259
2024/09/16, 00:08:11.729, 72.383, -2.247, 0.76, 136.980, 6.6390, 7.2622, 6.448, 3.51687, 617.700, 70.5, 3.75, 34.6078, 1479.178, 1476.699, -0.6232, 0.1910, 0.8142
2024/09/16, 00:08:31.729, 72.383, -2.246, 0.53, 131.900, 6.6389, 7.2621, 6.451, 3.51687, 618.000, 70.4, 3.76, 34.6080, 1479.178, 1476.694, -0.6232, 0.1879, 0.8111
2024/09/16, 00:08:51.729, 72.383, -2.246, 0.31, 126.080, 6.6390, 7.2702, 6.450, 3.51814, 617.600, 70.4, 3.79, 34.6137, 1479.217, 1476.689, -0.6312, 0.1890, 0.8202
2024/09/16, 00:09:11.729, 72.383, -2.246, 0.18, 122.090, 6.6391, 7.2809, 6.449, 3.51862, 619.300, 70.4, 3.76, 34.6083, 1479.251, 1476.680, -0.6418, 0.1901, 0.8319
2024/09/16, 00:09:31.729, 72.383, -2.246, -0.03, 123.640, 6.6393, 7.2698, 6.447, 3.51751, 616.900, 70.4, 3.74, 34.6073, 1479.207, 1476.678, -0.6305, 0.1923, 0.8228
2024/09/16, 00:09:51.729, 72.383, -2.246, -0.04, 126.390, 6.6397, 7.2679, 6.448, 3.51738, 620.300, 70.4, 3.71, 34.6077, 1479.200, 1476.678, -0.6282, 0.1917, 0.8199
2024/09/16, 00:10:11.729, 72.383, -2.246, -0.03, 127.120, 6.6400, 7.2740, 6.446, 3.51796, 619.600, 70.3, 3.74, 34.6079, 1479.224, 1476.669, -0.6340, 0.1940, 0.8280
2024/09/16, 00:10:31.729, 72.383, -2.246, -0.10, 123.820, 6.6400, 7.2716, 6.448, 3.51772, 620.300, 70.4, 3.73, 34.6077, 1479.214, 1476.687, -0.6316, 0.1920, 0.8236
2024/09/16, 00:10:51.729, 72.383, -2.246, -0.35, 121.450, 6.6396, 7.2778, 6.451, 3.51838, 618.000, 70.1, 3.74, 34.6087, 1479.240, 1476.712, -0.6382, 0.1886, 0.8268
2024/09/16, 00:11:11.729, 72.383, -2.246, -0.28, 120.900, 6.6394, 7.2766, 6.448, 3.51823, 619.000, 70.3, 3.72, 34.6084, 1479.234, 1476.689, -0.6372, 0.1914, 0.8286
