WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, TRANS25_ref, TRANS25_sig, TRANS25_sigcor, TRANS25_calc, TRANS25_therm, TRANS10_ref, TRANS10_sig, TRANS10_sigcor, TRANS10_calc, TRANS10_therm
2024/09/16, 00:00:08.777, 72.373, -2.215, 10.48, 314.840, 9201, 5053, 6337, 3.552, 536, 10269, 5957, 6729, 8.296, 533
2024/09/16, 00:00:18.777, 72.373, -2.217, 10.50, 314.210, 9201, 5057, 6342, 3.549, 536, 10269, 5986, 6761, 8.249, 533
2024/09/16, 00:00:28.777, 72.374, -2.218, 10.53, 313.470, 9201, 5046, 6329, 3.557, 536, 10269, 6007, 6786, 8.212, 533
2024/09/16, 00:00:38.777, 72.374, -2.219, 10.50, 314.610, 9201, 5044, 6326, 3.559, 536, 10269, 5982, 6758, 8.253, 533
2024/09/16, 00:00:48.777, 72.374, -2.220, 10.47, 315.840, 9201, 5046, 6329, 3.557, 536, 10269, 5984, 6759, 8.252, 533
2024/09/16, 00:00:58.777, 72.374, -2.221, 10.47, 315.090, 9201, 5048, 6332, 3.555, 536, 10269, 5971, 6745, 8.273, 533
2024/09/16, 00:01:08.777, 72.375, -2.222, 10.34, 315.330, 9201, 5050, 6333, 3.554, 536, 10269, 5984, 6760, 8.250, 533
2024/09/16, 00:01:18.777, 72.375, -2.223, 10.31, 315.670, 9201, 5045, 6328, 3.558, 536, 10269, 5981, 6756, 8.256, 533
2024/09/16, 00:01:28.777, 72.375, -2.224, 10.38, 316.070, 9201, 5029, 6308, 3.570, 536, 10269, 5970, 6743, 8.275, 533
2024/09/16, 00:01:38.778, 72.376, -2.225, 10.38, 315.960, 9201, 5054, 6339, 3.551, 536, 10269, 5993, 6770, 8.236, 534
2024/09/16, 00:01:48.778, 72.376, -2.226, 10.39, 313.310, 9201, 5049, 6333, 3.554, 536, 10269, 5984, 6759, 8.252, 533
2024/09/16, 00:01:58.778, 72.376, -2.227, 10.32, 313.340, 9201, 5048, 6331, 3.556, 536, 10269, 5980, 6755, 8.258, 533
2024/09/16, 00:02:08.778, 72.377, -2.228, 10.35, 314.640, 9201, 5008, 6282, 3.587, 536, 10269, 5992, 6768, 8.238, 533
2024/09/16, 00:02:18.778, 72.377, -2.229, 10.48, 314.330, 9201, 5057, 6343, 3.548, 536, 10269, 6006, 6785, 8.213, 533
2024/09/16, 00:02:28.778, 72.377, -2.231, 10.57, 314.330, 9201, 5046, 6329, 3.557, 536, 10269, 5977, 6752, 8.262, 534
2024/09/16, 00:02:38.778, 72.378, -2.232, 10.61, 316.590, 9201, 5052, 6336, 3.552, 536, 10269, 5974, 6748, 8.268, 533
2024/09/16, 00:02:48.778, 72.378, -2.233, 10.43, 315.450, 9201, 5052, 6337, 3.552, 536, 10269, 6002, 6780, 8.221, 533
2024/09/16, 00:02:58.778, 72.378, -2.234, 10.39, 313.300, 9201, 5048, 6332, 3.555, 536, 10269, 5981, 6756, 8.256, 533
2024/09/16, 00:03:08.778, 72.379, -2.235, 10.44, 314.420, 9201, 5044, 6326, 3.559, 536, 10269, 5959, 6732, 8.292, 534
2024/09/16, 00:03:18.778, 72.379, -2.236, 10.40, 316.070, 9201, 5043, 6325, 3.559, 536, 10269, 5973, 6747, 8.270, 533
2024/09/16, 00:03:28.778, 72.379, -2.237, 10.23, 313.860, 9201, 5039, 6320, 3.563, 536, 10269, 5980, 6755, 8.258, 533
2024/09/16, 00:03:38.778, 72.380, -2.238, 10.14, 313.900, 9201, 5054, 6339, 3.551, 536, 10269, 6000, 6778, 8.224, 533
2024/09/16, 00:03:48.778, 72.380, -2.239, 10.12, 315.690, 9201, 5046, 6329, 3.557, 537, 10269, 5992, 6768, 8.238, 533
2024/09/16, 00:03:58.778, 72.380, -2.240, 9.92, 313.860, 9201, 5040, 6322, 3.561, 536, 10269, 6007, 6786, 8.212, 533
2024/09/16, 00:04:08.778, 72.380, -2.241, 9.55, 314.090, 9202, 5049, 6331, 3.556, 536, 10269, 5989, 6766, 8.241, 533
2024/09/16, 00:04:18.778, 72.381, -2.242, 9.07, 316.010, 9201, 5047, 6330, 3.556, 537, 10269, 5997, 6774, 8.230, 533
2024/09/16, 00:04:28.779, 72.381, -2.243, 8.76, 315.090, 9201, 5056, 6342, 3.549, 536, 10269, 5970, 6743, 8.275, 533
2024/09/16, 00:04:38.779, 72.381, -2.243, 8.13, 315.390, 9201, 5038, 6319, 3.563, 536, 10269, 5997, 6774, 8.230, 533
